Beruf,Lehrbetrieb,Strasse,PLZ,Ort,Kontaktperson,Telefon,Email,Homepage,Erreichbarkeit,D/F,SL,BM,LS,IV,ZB,Anzahl,Bewerbung bis
Automatiker/in EFZ,AVAG KVA AG,Allmendstrasse 166,3600,Thun,Ueli Oberli,033 226 56 56,u.oberli@avag.ch,,Montag-Freitag 08.00 - 16.00 Uhr,D,E,False,False,False,True,1.0,31.07.2023
Automatiker/in EFZ,Bystronic Laser AG,,,,Adrian Kurt,062 956 38 54,berufsbildung.ch@bystronic.com,https://career5.successfactors.eu/sfcareer/jobreqcareer?jobId=1921&company=C0001217134P,,D,E,True,True,False,False,1.0,31.07.2023
Automatiker/in EFZ,Electro-Müller AG  ,Industriestrasse 25,2555,Brügg BE,Marcel Ochsner,0794481544,m.ochsner@electro-mueller.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,Gebrüder Meier AG,Bernstrasse  28,3054,Schüpfen,Dominik Cartier,031 915 44 31,dominik.cartier@gebrueder-meier.ch,,,D,,False,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,GF Machining Solutions AG,,,,Gabriel Bolliger,032 366 15 80,gabriel.bolliger@georgfischer.com,https://www.yousty.ch/de-CH/lehrstellen/profile/8883121-automatiker-in-efz-biel-bienne-be-gf-machini,,D,E,True,True,False,True,3.0,31.07.2023
Automatiker/in EFZ,GF Machining Solutions AG Liechti Engineering,,,,Thomas Bigler,0344093531,thomas.bigler@georgfischer.com,https://www.yousty.ch/de-CH/lehrstellen/profile/12167089-automatiker-in-efz-langnau-be-gf-machining-solutions-ag-liechti-engineering,,D,E,True,True,False,True,1.0,31.07.2023
Automatiker/in EFZ,HACO AG Personalabteilung,,,,Karin Lütolf,031 950 13 23,karin.luetolf@haco.ch,http://www.haco.ch/,,D,,False,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,Hans Baumann AG Elektrotechnik,Chasseralweg 1,3273,Kappelen,Reto Känel,032 391 70 50,reto.kaenel@bk-baumann.ch,http://www.bk-baumann.ch/,Werktags 0700-1200 / 1330-1700 Freitag -1600,D,E,True,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,J. Schneeberger Maschinen AG,Geissbergstrasse 2,4914,Roggwil BE,Reto Bieri,062 918 44 41,r.bieri@schneeberger.swiss,,,D,E,True,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,Küffer Elektro-Technik AG,Industrie Neuhof 31,3422,Kirchberg BE,Michael Kummer,034 445 26 26,info@ketag.ch,,Montag - Freitag 7Uhr bis 16Uhr,D,E,True,False,False,True,1.0,31.07.2023
Automatiker/in EFZ,Posalux SA,rue Fritz Oppliger 18,2500,Biel/Bienne 6,Janine Wyss,032 344 77 78,jwyss@posalux.ch,,,F,E,False,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,RUAG Schweiz AG Berufsbildung,,,,Stefan Fuhrer,058 467 01 11,hr-administration@ruag.ch,https://www.ruag.ch/arbeiten-bei-uns/arbeiten-bei-uns/stellenportal,,D,E,True,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,Stebatec AG  ,Mattenstrasse 6a,2555,Brügg BE,Michael Pauli,032 366 95 95,jobs@stebatec.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Automatiker/in EFZ,Stoppani Contract Manufacturing AG,Laupenstrasse 30,3176,Neuenegg,Edith Pintér de Almeida,031 744 22 60,edith.pinter@stoppani.com,,Montag - Freitag | 07.00 - 12.00 | 13.00 - 16.00 Uhr,D,M,False,False,False,True,1.0,31.07.2023
Automatiker/in EFZ,Unitechnologies SA,,,,Susanne Kessler,0323388541,ske@unitechnologies.com,http://www.unitechnologies.com/,per e-mail,D/F,E,True,True,False,True,1.0,31.07.2023
Automatiker/in EFZ,Zaugg AG Eggiwil Kommunaltechnik und Maschinenbau,Holzmatt 651b,3537,Eggiwil,Effi Bischoff,0344918115,hr@zaugg.swiss,http://www.zaugg.swiss/,Montag bis Mittwoch 7h30 - 16h30,D,,False,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Bystronic Laser AG,,,,Adrian Kurt,062 956 38 54,berufsbildung.ch@bystronic.com,https://career5.successfactors.eu/sfcareer/jobreqcareer?jobId=1941&company=C0001217134P,,D,E,True,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Electro-Müller AG  ,Industriestrasse 25,2555,Brügg BE,Marcel Ochsner,032 344 10 10,m.ochsner@electro-mueller.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Hans Baumann AG Elektrotechnik,Chasseralweg 1,3273,Kappelen,Reto Känel,032 391 70 50,reto.kaenel@bk-baumann.ch,http://www.bk-baumann.ch/,Werktags 0700-1200 / 1330-1700 Freitag 1600,D,M,True,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Küffer Elektro-Technik AG,Industrie Neuhof 31,3422,Kirchberg BE,Michael Kummer,034 445 26 26,info@ketag.ch,,Montag-Freitag 7Uhr-16Uhr,D,E,True,False,False,True,1.0,31.07.2023
Automatikmonteur/in EFZ,,,,,,,bewerbung@login.org,,,D,,False,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,,,,,,,bewerbung@login.org,https://www.login.org/automatikmontage,,D,,True,False,False,False,1.0,
Automatikmonteur/in EFZ,login Berufsbildung AG,,3806,Bönigen b. Interlaken,,,bewerbung@login.org,https://www.login.org/automatikmontage,,D,,True,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Precitrame Machines SA Ressources Humaines,Grand-Rue 5,2720,Tramelan,Anouk Brullot,0324869537,info-rh@precitrame.com,http://www.precitrame.com/,,F,E,True,True,False,True,1.0,31.07.2023
Automatikmonteur/in EFZ,Scherler AG,Papiermühlestrasse 9,3000,Bern 22,Thomas Perron,031 330 41 39,t.perron@scherler-ag.ch,https://www.scherler-ag.ch/online-bewerbung/bewerbung-fuer-eine-lehrstelle,,D,,False,False,False,False,1.0,31.07.2023
Automatikmonteur/in EFZ,Stoppani Contract Manufacturing AG,Laupenstrasse 30,3176,Neuenegg,Edith Pintér de Almeida,031 744 22 60,edith.pinter@stoppani.com,,Montag - Freitag | 07.00 - 12.00 | 13.00 - 16.00 Uhr,D,M,False,False,False,True,1.0,31.07.2023
Automobil-Assistent/in EBA,,,,,Marco Flückiger,031 8092028,mf@auto-flueckiger.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Automobil-Assistent/in EBA,Frudes Off Road GmbH Miriam Wittwer ,Burgholz 52,3753,Oey,Miriam oder Frude Wittwer,033 681 00 33,info@frudes-off-road.ch,,MO - FR 09.00 - 18 Uhr,D,E,False,False,False,True,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Nutzfahrzeuge,Genossenschaft Migros Aare,,,,,,marcel.zaugg@migrosaare.ch,http://www.migros-gruppe.jobs/lehre-gmaa,,D,M,True,False,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Nutzfahrzeuge,Lorenz Nutzfahrzeuge AG,Kirchbergstrasse 61,3421,Lyssach,André Grütter,0344481040,werkstatt@lorenz-ag.ch,,,D,E,True,True,False,True,1.0,30.07.2023
Automobil-Fachmann/Fachfrau EFZ Nutzfahrzeuge,Stadt Biel/Ville de Bienne Abteilung Personelles/Département du personnel,Rüschlistrasse/Rue du Rüschli 14,2501,Biel/Bienne,Hermann Meer,032 326 29 15,hermann.meer@biel-bienne.ch,http://www.biel-bienne.ch/,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Auto Flückiger AG Garage  Carrosserie,Schwarzenburgstrasse 7,3132,Riggisberg,Marco Flückiger,031 809 20 28,mf@auto-flueckiger.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Dorfgarage Ersigen AG,Töpfereistrasse 24,3423,Ersigen,Peter Odermatt,034 445 98 55,iyadurai@dorfgarage-ersigen.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Garage Central Biglen AG,Bahnhofstrasse 17,3507,Biglen,Jürg Aeberhard,031 701 10 37,info@centralbiglen.ch,,Mo-Fr 07:30-11:45 / 13:15-17:30,D,E,False,False,False,True,1.0,31.05.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Garage Stettler AG,Balmstrasse 2,3860,Meiringen,Brigitte Stettler,033 972 60 50,personal@stettler-gruppe.ch,,,D,E,True,False,False,True,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Garage Trittibach GmbH Marc Trittibach,Bernstrasse 41,3294,Büren an der Aare,Marc Trittibach,032 351 10 81,info@trittibach.com,,Montag bis Donnerstag 8.30-11.30,D,E,False,False,False,True,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Garage Wüthrich M&C AG   ,Rinderbach 16 ,3418,Rüegsbach,Michael Wüthrich ,034 461 43 43,verkauf@garage-wuethrich.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,"GILGEN MECHANICS AG  Garage, Carrosserie. Autoglas...",Industrie Neuhof 7,3422,Kirchberg,Christoph Gilgen,0344454554,info@gilgen-mechanics.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Hess Durs GmbH Garage + Landmaschinen,Meieriedstrasse 4,3400,Burgdorf,Markus Hess,0344231969,markus.hess@hessdurs.ch,,,D,E,False,True,False,False,1.0,31.07.2023
Automobil-Fachmann/Fachfrau EFZ Personenwagen,Th. Willy AG Autozentrum  ,Freiburgstrasse 443 443,3018,Bern,Raymond Pascal,031 998 25 57,hr@thwilly.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Nutzfahrzeuge,Volvo Trucks (Schweiz) AG Truck Center Münchenbuchsee,Moosrainweg 12,3053,Münchenbuchsee,Kilian Bähler,031 868 83 81,kilian.baehler@volvo.com,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Garage Antener GmbH,Erlenstrasse 29,2555,Brügg BE,Martin Antener,032 342 32 71,info@garage-antener.ch,,gemäss Öffnungszeiten,D,E,False,False,False,True,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Garage Berger AG,Thunstrasse 96,3415,Schafhausen im Emmental,Roland Berger,034 461 29 03,garage.berger@bluewin.ch,,Montag bis Freitag 07.30-12 13.30-18.00,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Garage VOLVO+HONDA René Blatter AG,Heimiswilstrasse 2a,3400,Burgdorf,Philipp Blatter ,034 426 25 25,ph.blatter@blatter-burgdorf.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Garage Stettler AG,Balmstrasse 2,3860,Meiringen,Brigitte Stettler,033 972 60 50,personal@stettler-gruppe.ch,,,D,E,True,False,False,True,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Garage Wüthrich M&C AG   ,Rinderbach 16 ,3418,Rüegsbach,Michael Wüthrich,034 461 43 43,verkauf@garage-wuethrich.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,"GILGEN MECHANICS AG  Garage, Carrosserie. Autoglas...",Industrie Neuhof 7,3422,Kirchberg,Christoph Gilgen,034 445 45 54,info@gilgen-mechanics.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Hess Durs GmbH Garage + Landmaschinen Meieriedstrasse,Meieriedstrasse 4,3400,Burgdorf,Hess Markus,0344231969,markus.hess@hessdurs.ch,,,D,E,False,True,False,False,1.0,31.07.2023
Automobil-Mechatroniker/in EFZ Personenwagen,Th. Willy AG Auto-Zentrum  ,,,,Raymond Pascal,031 998 25 57,hr@thwilly.ch,https://www.thwilly.ch/unternehmen/lehrstellen,,D,E,False,False,False,False,1.0,31.07.2023
Baumaschinenmechaniker/in EFZ,azm Ausbildungszentrum Mittelland,Eisenbahnstrasse 44,4900,Langenthal,Isabel Frei,0583605200,bewerbungen@azm.info,http://www.azm.info/,Das azm ist Mo-Fr 08:00 bis 12:00 sowie 13:15 bis 16:30 erreichbar,D,E,True,False,False,False,2.0,31.07.2023
Baumaschinenmechaniker/in EFZ,Gurtner Baumaschinen AG,Kirchgasse 24,4932,Lotzwil,Urs Schneeberger,062 923 53 31,jobs@gurtner-baumaschinen.ch,http://www.gurtner-baumaschinen.ch/,,D,E,False,False,False,False,1.0,31.07.2023
Baumaschinenmechaniker/in EFZ,Hand Baumaschinen AG,Schorrgasse 20 - 23,3174,Thörishaus,Ernst Bieri,031 888 10 43,ebieri@hand.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Baumaschinenmechaniker/in EFZ,Huppenkothen Baumaschinen AG,Rütimoosstrasse 9,3076,Worb,Christian Amstutz,031 931 30 86,lehre@huppenkothen.com,,,D,E,False,False,False,False,1.0,31.07.2023
Baumaschinenmechaniker/in EFZ,Marti Arc Jura SA Tavannes,Chemin du Repos 15,2710,Tavannes,Jonathan Monnin,079 681 67 48,jonathan.monnin@martisa.ch,,,F,E,False,True,False,True,1.0,31.07.2023
Baupraktiker/in EBA,"Arm AG Hoch-, Tief- & Strassenbau",Emmentalstrasse 73A,3510,Konolfingen,Hansjörg Steffen,031 791 01 79,info@arm-ag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Baupraktiker/in EBA,GALLO Baugeschäft AG,Freiburgstrasse 440,3018,Bern,Piero Gallo,031 991 04 03,piero.gallo@gallobau.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Baupraktiker/in EBA,Berger Bau AG,Rütifeldstrasse 12,3294,Büren an der Aare,Hans-Ulrich Zimmermann,032 353 10 60,info@bergerbau.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Baupraktiker/in EBA,Karl Anderegg AG Bauunternehmung,Sandweg 6,3818,Grindelwald,Patrick Anderegg,033 853 30 23,p.anderegg@karlanderegg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Baupraktiker/in EBA,Moratti Mettlen AG Bauunternehmung,Rübeldorfstrasse 78,3792,Saanen,Patrick Moratti,033 744 53 31,patrick@morattiag.ch,,Bürozeiten,D,E,False,False,False,True,1.0,31.07.2023
Baupraktiker/in EBA,Ritter Bauunternehmung AG,Sonnenstrasse 40,2500,Biel/Bienne 6,Simon Mattli,032 344 63 55,s.mattli@ritterbau.ch,,,D,M,False,False,False,False,1.0,31.07.2023
Betonwerker/in EFZ,Baumat AG,Thalgutstrasse,3114,Wichtrach,Thomas Kiener,031 780 10 10,jobs@baumat.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Bindetechnologe/Bindetechnologin EFZ Handwerk,Buchbinderei Hollenstein AG,Bernstrasse 36A,3308,Grafenried,Jonas Hollenstein,031 767 99 33,hollenstein@bu-bi.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Bindetechnologe/Bindetechnologin EFZ Industrie,Stämpfli AG Frau Michelle Schmied,Wölflistrasse 1,3001,Bern,Mcihelle Schmied,031 300 62 31,lehrstelle@staempfli.com,http://www.staempfli-lehre.ch/,,D,,True,False,False,False,1.0,
Carrosserielackierer/in EFZ,,,,,,,linda.schneiter@amag.ch,https://jobs.amag-group.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,,,,,,,linda.schneiter@amag.ch,https://jobs.amag-group.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,,,,,,,linda.schneiter@amag.ch,https://jobs.amag-group.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,Autocenter Fatjani AG Carrosserie & Lackiererei,Leenrütimattweg 3,4704,Niederbipp,Afrim Fatjani,032 633 00 63,info@fatjani.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Carrosserielackierer/in EFZ,Walter Baumann Kirchbergstrasse 147,Kirchbergstrasse 147,3400,Burgdorf,Walter Baumann,0344221103,info@baumanncarrosserie.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,BERNMOBIL Städt. Verkehrsbetriebe Bern,,,,Patrick Vögeli,031 321 84 52,patrick.voegeli@bernmobil.ch,https://www.yousty.ch/de-CH/lehrstellen/profile/1304728-carrosserielackierer-in-efz-bern-be-bernmobil,,D,E,False,False,False,True,1.0,
Carrosserielackierer/in EFZ,Carrosserie-Autospritzwerk Zehnder GmbH,Eymattweg 11,3506,Grosshöchstetten,Marco Zehnder,031 711 31 00,info@carrosserie-zehnder.ch,https://www.carrosserie-zehnder.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,CLZ Carroserie- und Lackierzentrum Gazmend Tetaj,Wikartswil 616a,3512,Walkringen,Gazmend Tetaj,031 705 15 15,info@clz-carrosserie.ch,http://www.clz-carrosserie.ch/,Montag - Freitag  08.00 bis 17.00 Uhr,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,Marag Garagen AG,Belpbergstrasse 3+5,3125,Toffen,Carmen Balmer,031 812 21 35,s.marti@marag-garagen.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Carrosserielackierer/in EFZ,Th. Willy AG Autozentrum,,,,Kurt Moro,031 998 25 42,hr@thwilly.ch,https://www.thwilly.ch/unternehmen/lehrstellen,,D,E,False,False,False,False,1.0,31.07.2023
Carrosseriereparateur/in EFZ,carrosseriekänel ag Roman Lanz,Aareweg 25,3270,Aarberg,Lanz Roman,032 392 41 83,info@carrosseriekaenel.ch,,"Mo - Do: 07:00 - 17:00, Freitag: bis 16:00",D,E,False,False,False,False,1.0,31.07.2023
Carrosseriereparateur/in EFZ,Th. Willy AG Auto-Zentrum,Freiburgstrasse 443,3018,Bern,Kurt Moro,031 998 25 11,hr@thwilly.ch,,Montag bis Freitag 07.00 bis 17.00,D,E,False,False,False,False,1.0,31.07.2023
Carrosseriespengler/in EFZ,Carrosserie-Autospritzwerk Zehnder GmbH,Eymattweg 11,3506,Grosshöchstetten,Marco Zehnder,031 711 31 00,info@carrosserie-zehnder.ch,https://www.carrosserie-zehnder.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Carrosseriespengler/in EFZ,carrosseriekänel ag Roman Lanz,Aareweg 25,3270,Aarberg,Roman Lanz,032 392 41 83,info@carrosseriekaenel.ch,,"Mo - Do 07:00 - 17:00, Freitag bis 16:00",D,E,False,False,False,False,1.0,31.07.2023
Carrosseriespengler/in EFZ,CLZ Carrosserie- und Lackierzentrum Gazmend Tetaj,Wikartsiwl 618a,3512,Walkringen,Gazmend Tetaj,031 705 15 15,info@clz-carrosserie.ch,http://www.clz-carrosserie.ch/,Montag - Freitag  08.00 bis 17.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Carrosseriespengler/in EFZ,Mercedes-Benz Automobil AG Zweigniederlassung PW Bern,Stauffacherstrasse 145,3000,Bern 22,Nicola Szilagyi,031 339 77 77,nicola.szilagyi@merbag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Heidi Wenigerkind,Jägerweg 3,3627,Heimberg,Heidi Wenigerkind,033 439 71 00,hwenigerkind@bauimpuls.ch,,,D,,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Beosolar GmbH,Flurweg 4,3700,Spiez,Anyel Holzer,0336738838,anyel.holzer@spiessag.com,,Dienstag bis Freitag 7.30-17.00 Uhr,D,M,False,True,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Bernhard AG,Lindenstrasse 1,3427,Utzenstorf,Simon Bernhard,032 665 47 24,sb.bau@bernhard-group.ch,,Montag bis Freitag 7.30 - 17.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,bhend Gebäudehüllen AG,Gewerbestrasse 5,3713,Reichenbach im Kandertal,Kaspar Bhend,033 671 13 48,info@bhend-gh.ch,,,D,,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Gebr. Weber AG Dachdeckergeschäft,Waldheimstrasse 12,3072,Ostermundigen,Rolf Weber,031 931 17 02,rolf.weber@gebrweberag.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Dachdecker/in EFZ,GLB Seeland,,,,Adrian Stähli,032 387 41 60,astaehli@glb.ch,https://www.glb.ch/karriere#lehrstelle,,D,E,False,False,False,True,1.0,31.07.2023
Dachdecker/in EFZ,Growe-Siegenthaler AG,Moosweg 36,3645,Gwatt (Thun),Jonas Wingeier,031 781 28 48,info@gs-dach.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Schilt Karina Guggisberg Dachtechnik AG Spenglerei Steil- & Flachbedachungen,Seftigenstrasse 312,3084,Wabern,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Janitsch AG Bedachungen + Gerüstbau,Industrie Neuhof 17,3422,Kirchberg BE,Michael Mühlethaler,034 445 42 22,info@janitsch-ag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Kämpfer + Co AG,Wangenstrasse 71,3360,Herzogenbuchsee,Sabine Baumberger,062 961 73 50,personal@kaempfer.ch,,,D,E,False,False,False,False,3.0,31.07.2023
Dachdecker/in EFZ,Müller Polybau AG,Freimettigenstrasse 17,3510,Konolfingen,Thomas Krähenbühl,031 791 20 55,mail@mueller-polybau.ch,,,D,E,False,False,False,False,1.0,31.05.2023
Dachdecker/in EFZ,Martin Muster Bedachungen ,Südstrasse 5,3250,Lyss,Martin Muster,032 392 57 20,ma.muster@bluewin.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Pulver Dawa Partner AG,Urtenenstrasse 50,3322,Mattstetten,Rephael Dawa,031 852 15 45,info@pulverdawa.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Renoma GmbH Bedachungen und Fassadenbau,Hofmattweg 4,3513,Bigenthal,Florian Flükiger,031 701 28 17,florian.fluekiger@renoma-bedachungen.ch,www.renoma-bedachungen.ch,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Reusser Dach + Fassaden AG,Allmendstrasse 21,3127,Mühlethurnen,Kurt Reusser,031 809 01 40,info@reusserag.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Dachdecker/in EFZ,Rothacher  Polybau AG,Glütschbachstrasse 59A,3661,Uetendorf,,033 336 86 86,info@rothacher-polybau.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdecker/in EFZ,Schenk Manfred GmbH,Dorfstrasse 51,3457,Wasen i.E.,Karin Schenk,034 437 19 14,karin.schenk@schenk-bedachungen.ch,,,D,M,False,False,False,True,1.0,
Dachdecker/in EFZ,D. Wenker Bedachungen GmbH Daniel Wenker,Wittenmattstrasse 30,3174,Thörishaus,Daniel Wenker,031 889 07 75,d.wenker@wenkerbedachungen.ch,,,D,E,False,False,False,False,1.0,30.06.2023
Dachdeckerpraktiker/in EBA,Growe-Siegenthaler AG,Moosweg 36,3645,Gwatt (Thun),Jonas Wingeier,031 781 28 48,info@gs-dach.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdeckerpraktiker/in EBA,Guggisberg Dachtechnik AG,Seftigenstrasse 312,3084,Wabern,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdeckerpraktiker/in EBA,Kämpfer + Co AG,Wangenstrasse 71,3360,Herzogenbuchsee,Sabine Baumberger,062 961 73 50,personal@kaempfer.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Dachdeckerpraktiker/in EBA,Müller Polybau AG,Freimettigenstrasse 17,3510,Konolfingen,Thomas Krähenbühl,031 791 20 55,mail@mueller-polybau.ch,http://www.mueller-polybau.ch/,,D,E,False,False,False,False,1.0,31.05.2023
Dachdeckerpraktiker/in EBA,Pulver Dawa Partner AG,Urtenenstrasse 50,3322,Mattstetten,Rephael Dawa,031 852 15 45,info@pulverdawa.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Dachdeckerpraktiker/in EBA,D. Wenker Bedachungen GmbH,Wittenmattstrasse 30,3174,Thörishaus,Daniel Wenker,031 889 07 75,d.wenker@wenkerbedachungen.ch,,,D,E,False,False,False,False,1.0,30.06.2023
Druckausrüster/in EFZ,Jordi AG Medienhaus,Aemmenmattstrasse 22,3123,Belp,Liliane Moser,0318180113,liliane.moser@jordibelp.ch,,Montag - Donnerstag,D,,False,False,False,False,1.0,31.07.2023
Druckausrüster/in EFZ,Merkur Druck AG,Gaswerkstrasse 56,4900,Langenthal,Engin Capan,0629191557,capan.e@merkurdruck.ch,,08.00 - 15.00,D,E,False,False,False,False,1.0,31.07.2023
Druckausrüster/in EFZ,Vögeli AG Marketingproduktion & Druck,Sägestrasse 21-23,3550,Langnau im Emmental,Martin Reusser,034 409 10 10,m.reusser@voegeli.ch,,,D,E,False,False,False,True,1.0,31.07.2023
